"DR1TCALC.Code.or.Value","DR1TCALC.Value.Description","DR1TCALC.Count","DR1TCALC.Cumulative","DR1TCALC.Skip.to.Item"
"6 to 8312","Range of Values",9623,9623,NA
".","Missing",630,10253,NA
