"DSQIFDFE.Code.or.Value","DSQIFDFE.Value.Description","DSQIFDFE.Count","DSQIFDFE.Cumulative","DSQIFDFE.Skip.to.Item"
"7 to 3400","Range of Values",2854,2854,NA
".","Missing",6263,9117,NA
