"DS2ISODI.Code.or.Value","DS2ISODI.Value.Description","DS2ISODI.Count","DS2ISODI.Cumulative","DS2ISODI.Skip.to.Item"
"1 to 360","Range of Values",504,504,NA
".","Missing",5022,5526,NA
