"URDETDLC.Code.or.Value","URDETDLC.Value.Description","URDETDLC.Count","URDETDLC.Cumulative","URDETDLC.Skip.to.Item"
"0","At or above the detection limit;",2779,2779,NA
"1","Below the lower detection limit;",13,2792,NA
".","Missing",149,2941,NA
