"SMD430.Code.or.Value","SMD430.Value.Description","SMD430.Count","SMD430.Cumulative","SMD430.Skip.to.Item"
"1 to 35","Range of Values",1058,1058,NA
"40","40 or more",112,1170,NA
".","Missing",8586,9756,NA
