"MCQ250B.Code.or.Value","MCQ250B.Value.Description","MCQ250B.Count","MCQ250B.Cumulative","MCQ250B.Skip.to.Item"
"1","Yes",464,464,"MCQ260BA"
"2","No",4323,4787,""
"7","Refused",1,4788,""
"9","Don't know",92,4880,""
".","Missing",4613,9493,""
