"DXXGYTOM.Code.or.Value","DXXGYTOM.Value.Description","DXXGYTOM.Count","DXXGYTOM.Cumulative","DXXGYTOM.Skip.to.Item"
"2486.6 to 23971.2","Range of Values",5589,5589,NA
".","Missing",1304,6893,NA
