"RFXT030.Code.or.Value","RFXT030.Value.Description","RFXT030.Count","RFXT030.Cumulative","RFXT030.Skip.to.Item"
"248 to 256","Range of Values",51068,51068,NA
".","Missing",8,51076,NA
