"DR2IVB6.Code.or.Value","DR2IVB6.Value.Description","DR2IVB6.Count","DR2IVB6.Cumulative","DR2IVB6.Skip.to.Item"
"0 to 15.744","Range of Values",99780,99780,NA
".","Missing",900,100680,NA
