"URXUTL.Code.or.Value","URXUTL.Value.Description","URXUTL.Count","URXUTL.Cumulative","URXUTL.Skip.to.Item"
"0.013 to 7.658","Range of Values",3061,3061,NA
".","Missing",218,3279,NA
