"MPQ120AE.Code.or.Value","MPQ120AE.Value.Description","MPQ120AE.Count","MPQ120AE.Cumulative","MPQ120AE.Skip.to.Item"
"40","Foot - right",131,131,NA
".","Missing",4910,5041,NA
