"MCQ260GE.Code.or.Value","MCQ260GE.Value.Description","MCQ260GE.Count","MCQ260GE.Cumulative","MCQ260GE.Skip.to.Item"
"5","Father's mother",19,19,NA
".","Missing",10451,10470,NA
