"DS1ISFAT.Code.or.Value","DS1ISFAT.Value.Description","DS1ISFAT.Count","DS1ISFAT.Cumulative","DS1ISFAT.Skip.to.Item"
"0.093 to 9","Range of Values",139,139,NA
".","Missing",5555,5694,NA
