"DR1IM221.Code.or.Value","DR1IM221.Value.Description","DR1IM221.Count","DR1IM221.Cumulative","DR1IM221.Skip.to.Item"
"0 to 3.875","Range of Values",130285,130285,NA
".","Missing",879,131164,NA
