"AUDTYL30.Code.or.Value","AUDTYL30.Value.Description","AUDTYL30.Count","AUDTYL30.Cumulative","AUDTYL30.Skip.to.Item"
"0 to 1.5","Range of Values",1672,1672,NA
".","Missing",135,1807,NA
