"LBXSCH.Code.or.Value","LBXSCH.Value.Description","LBXSCH.Count","LBXSCH.Cumulative","LBXSCH.Skip.to.Item"
"77 to 438","Range of Values",5903,5903,NA
".","Missing",498,6401,NA
