"DR1IS140.Code.or.Value","DR1IS140.Value.Description","DR1IS140.Count","DR1IS140.Cumulative","DR1IS140.Skip.to.Item"
"0 to 12.033","Range of Values",144880,144880,NA
".","Missing",823,145703,NA
