"OSQ140u.Code.or.Value","OSQ140u.Value.Description","OSQ140u.Count","OSQ140u.Cumulative","OSQ140u.Skip.to.Item"
"1","Month",154,154,NA
"2","Year",83,237,NA
"7","Refused",0,237,NA
"9","Don't know",0,237,NA
".","Missing",4742,4979,NA
