"LBXSAL.Code.or.Value","LBXSAL.Value.Description","LBXSAL.Count","LBXSAL.Cumulative","LBXSAL.Skip.to.Item"
"2.5 to 5.3","Range of Values",6860,6860,NA
".","Missing",509,7369,NA
