"WBXA089.Code.or.Value","WBXA089.Value.Description","WBXA089.Count","WBXA089.Cumulative","WBXA089.Skip.to.Item"
"-1.9653 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
