"LBDLDNSI.Code.or.Value","LBDLDNSI.Value.Description","LBDLDNSI.Count","LBDLDNSI.Cumulative","LBDLDNSI.Skip.to.Item"
"0.517 to 9.284","Range of Values",2827,2827,NA
".","Missing",209,3036,NA
