"DR2TBCAR.Code.or.Value","DR2TBCAR.Value.Description","DR2TBCAR.Count","DR2TBCAR.Cumulative","DR2TBCAR.Skip.to.Item"
"0 to 104259","Range of Values",6875,6875,NA
".","Missing",2669,9544,NA
