"DS2TVB6.Code.or.Value","DS2TVB6.Value.Description","DS2TVB6.Count","DS2TVB6.Cumulative","DS2TVB6.Skip.to.Item"
"0 to 600","Range of Values",1834,1834,NA
".","Missing",7928,9762,NA
