"OSQ120d.Code.or.Value","OSQ120d.Value.Description","OSQ120d.Count","OSQ120d.Cumulative","OSQ120d.Skip.to.Item"
"1","Yes",20,20,""
"2","No",16,36,"OSQ060"
"7","Refused",0,36,"OSQ060"
"9","Don't know",0,36,"OSQ060"
".","Missing",6182,6218,""
