"HOQ065.Code.or.Value","HOQ065.Value.Description","HOQ065.Count","HOQ065.Cumulative","HOQ065.Skip.to.Item"
"1","Owned or being bought",5760,5760,NA
"2","Rented",3960,9720,NA
"3","Other arrangement",265,9985,NA
"7","Refused",3,9988,NA
"9","Don't know",1,9989,NA
".","Missing",133,10122,NA
