"LBDF09LC.Code.or.Value","LBDF09LC.Value.Description","LBDF09LC.Count","LBDF09LC.Cumulative","LBDF09LC.Skip.to.Item"
"0","detectable result",1,1,NA
"1","below detectable limit",1223,1224,NA
".","Missing",1323,2547,NA
