"OSD030ca.Code.or.Value","OSD030ca.Value.Description","OSD030ca.Count","OSD030ca.Cumulative","OSD030ca.Skip.to.Item"
"9 to 78","Range of Values",108,108,NA
"80","80 or older",3,111,NA
"77777","Refused",0,111,NA
"99999","Don't know",4,115,NA
".","Missing",2954,3069,NA
