"DR1IVD.Code.or.Value","DR1IVD.Value.Description","DR1IVD.Count","DR1IVD.Cumulative","DR1IVD.Skip.to.Item"
"0 to 74.7","Range of Values",130698,130698,NA
".","Missing",696,131394,NA
