"ARQ023QF.Code.or.Value","ARQ023QF.Value.Description","ARQ023QF.Count","ARQ023QF.Cumulative","ARQ023QF.Skip.to.Item"
"19 to 62","Range of Values",29,29,NA
"777","Refused",0,29,NA
"999","Don't know",0,29,NA
".","Missing",5077,5106,NA
