"DS2TVB6.Code.or.Value","DS2TVB6.Value.Description","DS2TVB6.Count","DS2TVB6.Cumulative","DS2TVB6.Skip.to.Item"
"0 to 200","Range of Values",1949,1949,NA
".","Missing",8304,10253,NA
