"LBXVBZ.Code.or.Value","LBXVBZ.Value.Description","LBXVBZ.Count","LBXVBZ.Cumulative","LBXVBZ.Skip.to.Item"
"0.017 to 1.4","Range of Values",2685,2685,NA
".","Missing",730,3415,NA
