"OHD27LAM.Code.or.Value","OHD27LAM.Value.Description","OHD27LAM.Count","OHD27LAM.Cumulative","OHD27LAM.Skip.to.Item"
"0 to 9","Range of Values",2462,2462,NA
"99","Calculation cannot be determined",90,2552,NA
".","Missing",4166,6718,NA
