"AUXROEXC.Code.or.Value","AUXROEXC.Value.Description","AUXROEXC.Count","AUXROEXC.Cumulative","AUXROEXC.Skip.to.Item"
"1","Yes (checkbox checked)",390,390,NA
"2","No (checkbox unchecked)",1839,2229,NA
".","Missing",139,2368,NA
