"ALQ101.Code.or.Value","ALQ101.Value.Description","ALQ101.Count","ALQ101.Cumulative","ALQ101.Skip.to.Item"
"1","Yes",2956,2956,"ALQ120Q"
"2","No",1356,4312,""
"7","Refused",0,4312,""
"9","Don't know",1,4313,""
".","Missing",429,4742,""
