"LBDF06LC.Code.or.Value","LBDF06LC.Value.Description","LBDF06LC.Count","LBDF06LC.Cumulative","LBDF06LC.Skip.to.Item"
"0","detectable result",1,1,NA
"1","below detectable limit",1222,1223,NA
".","Missing",1324,2547,NA
