"OSD030cc.Code.or.Value","OSD030cc.Value.Description","OSD030cc.Count","OSD030cc.Cumulative","OSD030cc.Skip.to.Item"
"42","42",1,1,NA
"80","80 or older",0,1,NA
"77777","Refused",0,1,NA
"99999","Don't know",1,2,NA
".","Missing",3813,3815,NA
