"OSQ040bf.Code.or.Value","OSQ040bf.Value.Description","OSQ040bf.Count","OSQ040bf.Cumulative","OSQ040bf.Skip.to.Item"
"1","Under 50 years old, or",3,3,"OSQ025"
"2","50 years old or older?",1,4,""
"7","Refused",0,4,"OSQ025"
"9","Don't know",0,4,"OSQ025"
".","Missing",4975,4979,""
