"BIXS649K.Code.or.Value","BIXS649K.Value.Description","BIXS649K.Count","BIXS649K.Cumulative","BIXS649K.Skip.to.Item"
"72.4 to 930.88","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
