"DS1TMFAT.Code.or.Value","DS1TMFAT.Value.Description","DS1TMFAT.Count","DS1TMFAT.Cumulative","DS1TMFAT.Skip.to.Item"
"0.0003 to 9","Range of Values",63,63,NA
".","Missing",9750,9813,NA
