"LBXSIR.Code.or.Value","LBXSIR.Value.Description","LBXSIR.Count","LBXSIR.Cumulative","LBXSIR.Skip.to.Item"
"6 to 363","Range of Values",6856,6856,NA
".","Missing",513,7369,NA
