"DUQ400Q.Code.or.Value","DUQ400Q.Value.Description","DUQ400Q.Count","DUQ400Q.Cumulative","DUQ400Q.Skip.to.Item"
"1 to 50","Range of Values",88,88,NA
"7777","Refused",0,88,NA
"9999","Don't know",0,88,NA
".","Missing",5214,5302,NA
