"AUXR8KL.Code.or.Value","AUXR8KL.Value.Description","AUXR8KL.Count","AUXR8KL.Cumulative","AUXR8KL.Skip.to.Item"
"5 to 90","Range of Values",13,13,NA
"666","No response",2,15,NA
"888","Could not obtain",0,15,NA
".","Missing",3019,3034,NA
