"LBXBR5LA.Code.or.Value","LBXBR5LA.Value.Description","LBXBR5LA.Count","LBXBR5LA.Cumulative","LBXBR5LA.Skip.to.Item"
"0.8 to 692","Range of Values",1985,1985,NA
".","Missing",352,2337,NA
