"DR1ISUGR.Code.or.Value","DR1ISUGR.Value.Description","DR1ISUGR.Count","DR1ISUGR.Cumulative","DR1ISUGR.Skip.to.Item"
"0 to 903.89","Range of Values",150340,150340,NA
".","Missing",651,150991,NA
