"OSQ070.Code.or.Value","OSQ070.Value.Description","OSQ070.Count","OSQ070.Cumulative","OSQ070.Skip.to.Item"
"1","Yes",243,243,NA
"2","No",84,327,NA
"7","Refused",0,327,NA
"9","Don't know",2,329,NA
".","Missing",5082,5411,NA
