"LBDPFOAL.Code.or.Value","LBDPFOAL.Value.Description","LBDPFOAL.Count","LBDPFOAL.Cumulative","LBDPFOAL.Skip.to.Item"
"0","At or above the detection limit",1895,1895,NA
"1","Below lower detection limit",9,1904,NA
".","Missing",273,2177,NA
