"OPDSPED.Code.or.Value","OPDSPED.Value.Description","OPDSPED.Count","OPDSPED.Cumulative","OPDSPED.Skip.to.Item"
"0","No",2339,2339,NA
"1","Yes",4,2343,NA
".","Missing",591,2934,NA
