"DS2ICARB.Code.or.Value","DS2ICARB.Value.Description","DS2ICARB.Count","DS2ICARB.Cumulative","DS2ICARB.Skip.to.Item"
"0.15 to 42","Range of Values",961,961,NA
".","Missing",4565,5526,NA
