"LBX138LA.Code.or.Value","LBX138LA.Value.Description","LBX138LA.Count","LBX138LA.Cumulative","LBX138LA.Skip.to.Item"
"2.1 to 487","Range of Values",2293,2293,NA
".","Missing",254,2547,NA
