"LBXVDB.Code.or.Value","LBXVDB.Value.Description","LBXVDB.Count","LBXVDB.Cumulative","LBXVDB.Skip.to.Item"
"0.0283 to 93.2","Range of Values",3156,3156,NA
".","Missing",291,3447,NA
