"MPQ120t.Code.or.Value","MPQ120t.Value.Description","MPQ120t.Count","MPQ120t.Cumulative","MPQ120t.Skip.to.Item"
"29","Mid-leg - left",221,221,NA
".","Missing",5190,5411,NA
