"HOD040.Code.or.Value","HOD040.Value.Description","HOD040.Count","HOD040.Cumulative","HOD040.Skip.to.Item"
"1","1990 to present",1703,1703,NA
"2","1978 to 1989,",1663,3366,NA
"3","1960 to 1977,",1919,5285,NA
"4","1950 to 1959,",970,6255,NA
"5","1940 to 1949, or",465,6720,NA
"6","Before 1940?",1193,7913,NA
"77","Refused",32,7945,NA
"99","Don't know",2920,10865,NA
".","Missing",174,11039,NA
