"FSQ210.Code.or.Value","FSQ210.Value.Description","FSQ210.Count","FSQ210.Cumulative","FSQ210.Skip.to.Item"
"0 to 1000","Range of Values",1471,1471,NA
"77777","Refused",8,1479,NA
"99999","Don't know",25,1504,NA
".","Missing",8844,10348,NA
