"SMD690A.Code.or.Value","SMD690A.Value.Description","SMD690A.Count","SMD690A.Cumulative","SMD690A.Skip.to.Item"
"1","Cigarettes",1178,1178,NA
"77","Refused",2,1180,NA
"99","Don't know",0,1180,NA
".","Missing",5578,6758,NA
