"URXCOP.Code.or.Value","URXCOP.Value.Description","URXCOP.Count","URXCOP.Cumulative","URXCOP.Skip.to.Item"
"0.3 to 1773.5","Range of Values",2489,2489,NA
".","Missing",105,2594,NA
