"FSQ510.Code.or.Value","FSQ510.Value.Description","FSQ510.Count","FSQ510.Cumulative","FSQ510.Skip.to.Item"
"1 to 15","Range of Values",25,25,NA
"77","Refused",0,25,NA
"99","Don't know",0,25,NA
".","Missing",11014,11039,NA
