"URDHEMLC.Code.or.Value","URDHEMLC.Value.Description","URDHEMLC.Count","URDHEMLC.Cumulative","URDHEMLC.Skip.to.Item"
"0","At or above the detection limit",1425,1425,NA
"1","Below lower detection limit",815,2240,NA
".","Missing",109,2349,NA
