"LBXVTHF.Code.or.Value","LBXVTHF.Value.Description","LBXVTHF.Count","LBXVTHF.Cumulative","LBXVTHF.Skip.to.Item"
"0.0884 to 41.1","Range of Values",3056,3056,NA
".","Missing",391,3447,NA
