"LBDVIESI.Code.or.Value","LBDVIESI.Value.Description","LBDVIESI.Count","LBDVIESI.Cumulative","LBDVIESI.Skip.to.Item"
"2.79 to 167.89","Range of Values",7401,7401,NA
".","Missing",1431,8832,NA
