"LBXSCR.Code.or.Value","LBXSCR.Value.Description","LBXSCR.Count","LBXSCR.Cumulative","LBXSCR.Skip.to.Item"
"0.31 to 8.32","Range of Values",6376,6376,NA
".","Missing",541,6917,NA
