"DRXTS140.Code.or.Value","DRXTS140.Value.Description","DRXTS140.Count","DRXTS140.Cumulative","DRXTS140.Skip.to.Item"
"0 to 29.49","Range of Values",8725,8725,NA
".","Missing",557,9282,NA
