"DS2IVK.Code.or.Value","DS2IVK.Value.Description","DS2IVK.Count","DS2IVK.Cumulative","DS2IVK.Skip.to.Item"
"2.5 to 2000","Range of Values",886,886,NA
".","Missing",4640,5526,NA
