"URDOMOLC.Code.or.Value","URDOMOLC.Value.Description","URDOMOLC.Count","URDOMOLC.Cumulative","URDOMOLC.Skip.to.Item"
"0","At or above the detection limit",0,0,NA
"1","Below lower detection limit",2455,2455,NA
".","Missing",157,2612,NA
