"URDMOPLC.Code.or.Value","URDMOPLC.Value.Description","URDMOPLC.Count","URDMOPLC.Cumulative","URDMOPLC.Skip.to.Item"
"0","At or above the detection limit",29,29,NA
"1","Below lower detection limit",2519,2548,NA
".","Missing",90,2638,NA
